,year,p-amount,area,enter,exit,variable,date
279,1958,32,kyusyu-n,1958-06-06,1958-07-11,g-enter,1900-06-06
280,1959,92,kyusyu-n,1959-06-04,1959-07-21,g-enter,1900-06-04
281,1960,57,kyusyu-n,1960-05-24,1960-07-11,g-enter,1900-05-24
282,1961,50,kyusyu-n,1961-06-08,1961-07-10,g-enter,1900-06-08
283,1962,136,kyusyu-n,1962-06-08,1962-07-22,g-enter,1900-06-08
284,1963,99,kyusyu-n,1963-05-30,1963-07-13,g-enter,1900-05-30
285,1964,66,kyusyu-n,1964-06-10,1964-07-20,g-enter,1900-06-10
286,1965,116,kyusyu-n,1965-06-11,1965-07-24,g-enter,1900-06-11
287,1966,65,kyusyu-n,1966-06-14,1966-07-14,g-enter,1900-06-14
288,1967,69,kyusyu-n,1967-06-22,1967-07-16,g-enter,1900-06-22
289,1968,92,kyusyu-n,1968-06-12,1968-07-17,g-enter,1900-06-12
290,1969,117,kyusyu-n,1969-06-17,1969-07-15,g-enter,1900-06-17
291,1970,89,kyusyu-n,1970-06-10,1970-07-21,g-enter,1900-06-10
292,1971,99,kyusyu-n,1971-06-02,1971-07-27,g-enter,1900-06-02
293,1972,160,kyusyu-n,1972-06-03,1972-07-15,g-enter,1900-06-03
294,1973,65,kyusyu-n,1973-06-05,1973-07-06,g-enter,1900-06-05
295,1974,87,kyusyu-n,1974-06-10,1974-07-19,g-enter,1900-06-10
296,1975,91,kyusyu-n,1975-06-04,1975-07-18,g-enter,1900-06-04
297,1976,79,kyusyu-n,1976-06-04,1976-07-22,g-enter,1900-06-04
298,1977,75,kyusyu-n,1977-06-07,1977-07-20,g-enter,1900-06-07
299,1978,65,kyusyu-n,1978-06-10,1978-07-03,g-enter,1900-06-10
300,1979,123,kyusyu-n,1979-06-06,1979-07-25,g-enter,1900-06-06
301,1980,142,kyusyu-n,1980-06-08,1980-07-19,g-enter,1900-06-08
302,1981,91,kyusyu-n,1981-06-10,1981-07-14,g-enter,1900-06-10
303,1982,121,kyusyu-n,1982-06-13,1982-07-27,g-enter,1900-06-13
304,1983,92,kyusyu-n,1983-06-12,1983-07-23,g-enter,1900-06-12
305,1984,73,kyusyu-n,1984-06-07,1984-07-14,g-enter,1900-06-07
306,1985,144,kyusyu-n,1985-06-07,1985-07-15,g-enter,1900-06-07
307,1986,119,kyusyu-n,1986-06-13,1986-07-26,g-enter,1900-06-13
308,1987,125,kyusyu-n,1987-06-08,1987-07-26,g-enter,1900-06-08
309,1988,92,kyusyu-n,1988-06-07,1988-07-06,g-enter,1900-06-07
310,1989,73,kyusyu-n,1989-06-05,1989-07-19,g-enter,1900-06-05
311,1990,94,kyusyu-n,1990-05-30,1990-07-18,g-enter,1900-05-30
312,1991,135,kyusyu-n,1991-05-19,1991-07-19,g-enter,1900-05-19
313,1992,56,kyusyu-n,1992-06-05,1992-07-20,g-enter,1900-06-05
314,1993,158,kyusyu-n,1993-05-29,,g-enter,1900-05-29
315,1994,44,kyusyu-n,1994-06-07,1994-07-01,g-enter,1900-06-07
316,1995,108,kyusyu-n,1995-06-08,1995-07-08,g-enter,1900-06-08
317,1996,95,kyusyu-n,1996-06-07,1996-07-13,g-enter,1900-06-07
318,1997,128,kyusyu-n,1997-06-08,1997-07-19,g-enter,1900-06-08
319,1998,103,kyusyu-n,1998-06-01,1998-08-03,g-enter,1900-06-01
320,1999,126,kyusyu-n,1999-06-02,1999-07-22,g-enter,1900-06-02
321,2000,73,kyusyu-n,2000-05-26,2000-07-17,g-enter,1900-05-26
322,2001,110,kyusyu-n,2001-05-21,2001-07-19,g-enter,1900-05-21
323,2002,57,kyusyu-n,2002-06-10,2002-07-21,g-enter,1900-06-10
324,2003,120,kyusyu-n,2003-06-09,2003-07-31,g-enter,1900-06-09
325,2004,47,kyusyu-n,2004-05-29,2004-07-11,g-enter,1900-05-29
326,2005,70,kyusyu-n,2005-06-10,2005-07-17,g-enter,1900-06-10
327,2006,141,kyusyu-n,2006-06-08,2006-07-26,g-enter,1900-06-08
328,2007,87,kyusyu-n,2007-06-13,2007-07-23,g-enter,1900-06-13
329,2008,84,kyusyu-n,2008-05-28,2008-07-06,g-enter,1900-05-28
330,2009,121,kyusyu-n,2009-06-03,2009-08-04,g-enter,1900-06-03
331,2010,111,kyusyu-n,2010-06-12,2010-07-17,g-enter,1900-06-12
332,2011,119,kyusyu-n,2011-05-21,2011-07-08,g-enter,1900-05-21
333,2012,138,kyusyu-n,2012-05-30,2012-07-23,g-enter,1900-05-30
334,2013,72,kyusyu-n,2013-05-27,2013-07-08,g-enter,1900-05-27
335,2014,87,kyusyu-n,2014-06-02,2014-07-20,g-enter,1900-06-02
336,2015,102,kyusyu-n,2015-06-02,2015-07-29,g-enter,1900-06-02
337,2016,117,kyusyu-n,2016-06-04,2016-07-18,g-enter,1900-06-04
338,2017,67,kyusyu-n,2017-06-20,2017-07-13,g-enter,1900-06-20
339,2018,110,kyusyu-n,2018-06-05,2018-07-09,g-enter,1900-06-05
340,1951,132,kyusyu-s,1951-05-26,1951-07-21,g-enter,1900-05-26
341,1952,132,kyusyu-s,1952-06-14,1952-07-16,g-enter,1900-06-14
342,1953,118,kyusyu-s,1953-05-22,1953-07-22,g-enter,1900-05-22
343,1954,178,kyusyu-s,1954-05-13,1954-08-01,g-enter,1900-05-13
344,1955,130,kyusyu-s,1955-05-28,1955-06-24,g-enter,1900-05-28
345,1956,86,kyusyu-s,1956-05-01,1956-07-13,g-enter,1900-05-01
346,1957,92,kyusyu-s,1957-06-21,1957-08-08,g-enter,1900-06-21
347,1958,40,kyusyu-s,1958-06-06,1958-07-09,g-enter,1900-06-06
348,1959,102,kyusyu-s,1959-06-04,1959-07-21,g-enter,1900-06-04
349,1960,59,kyusyu-s,1960-05-24,1960-07-10,g-enter,1900-05-24
350,1961,67,kyusyu-s,1961-06-02,1961-07-10,g-enter,1900-06-02
351,1962,119,kyusyu-s,1962-06-02,1962-07-20,g-enter,1900-06-02
352,1963,58,kyusyu-s,1963-05-28,1963-07-12,g-enter,1900-05-28
353,1964,84,kyusyu-s,1964-06-10,1964-07-01,g-enter,1900-06-10
354,1965,79,kyusyu-s,1965-06-09,1965-07-07,g-enter,1900-06-09
355,1966,87,kyusyu-s,1966-05-31,1966-07-14,g-enter,1900-05-31
356,1967,76,kyusyu-s,1967-06-18,1967-07-14,g-enter,1900-06-18
357,1968,129,kyusyu-s,1968-06-12,1968-07-16,g-enter,1900-06-12
358,1969,107,kyusyu-s,1969-06-17,1969-07-15,g-enter,1900-06-17
359,1970,106,kyusyu-s,1970-06-10,1970-07-15,g-enter,1900-06-10
360,1971,106,kyusyu-s,1971-05-22,1971-07-25,g-enter,1900-05-22
